kBET,ARI,ASW
0.9152542372881356,0.4906133383581227,0.49287176
0.9491525423728814,0.5071402326670937,0.49752098
0.9322033898305084,0.5046308623112119,0.50060093
0.9830508474576272,0.5060239814428662,0.50056195
0.9830508474576272,0.5067387835932627,0.49782223
0.9152542372881356,0.4902618932615085,0.50088334
0.9491525423728814,0.5012976032584866,0.5031828
0.9661016949152542,0.504197140787368,0.49947757
0.9830508474576272,0.5041214880733971,0.4968171
0.9491525423728814,0.5048376587452822,0.49678367
0.9661016949152542,0.5072580193428777,0.5014694
0.9661016949152542,0.5074596642230658,0.5006431
0.9830508474576272,0.5080277233237409,0.49717993
0.9322033898305084,0.5081838156272234,0.5008977
0.7966101694915254,0.5014517129529685,0.48939437
1.0,0.5070155769706091,0.5022527
0.9661016949152542,0.5014859724203519,0.50212
0.9491525423728814,0.5073100014483367,0.50278056
0.9661016949152542,0.5046790996573804,0.49962676
0.9152542372881356,0.5041214880733971,0.5026283
0.8813559322033898,0.4554731312557677,0.49614185
0.9830508474576272,0.5071402326670937,0.4975896
0.9491525423728814,0.5035959851418637,0.50366473
1.0,0.5069671163033935,0.5029924
0.9830508474576272,0.5066039563702254,0.5024166
0.9661016949152542,0.5082289268184761,0.50297165
0.9491525423728814,0.5083434758199022,0.5016618
0.9830508474576272,0.5013626602406478,0.49999505
0.9661016949152542,0.4960983443717646,0.50180316
0.9661016949152542,0.5065313868095318,0.49895948
0.9830508474576272,0.5001942120714047,0.503356
0.9491525423728814,0.504269375926123,0.5025568
0.8813559322033898,0.4907808703229939,0.5014018
0.864406779661017,0.4837697150326654,0.49956387
0.9830508474576272,0.49658619399213844,0.5031851
0.9491525423728814,0.5049204247836939,0.50153863
0.9491525423728814,0.5010751675213395,0.5019126
0.9830508474576272,0.5010204443813445,0.50083804
0.9830508474576272,0.5081838156272234,0.50128806
0.8813559322033898,0.5068598435000082,0.49922484
1.0,0.5005421262806455,0.5002327
0.9322033898305084,0.5010204443813445,0.4985252
0.9830508474576272,0.5083087585488151,0.49727452
1.0,0.5069152044388376,0.50307095
1.0,0.5082289268184761,0.49899018
1.0,0.5082289268184761,0.50035316
0.9661016949152542,0.5012188726554626,0.50315505
0.9830508474576272,0.5084893401597849,0.5000049
0.9661016949152542,0.5083747254188387,0.5027904
0.9322033898305084,0.5068598435000082,0.5027009
