NMI,ARI,ASW
0.15498908119749755,0.5664995985428485,0.49261984
0.09636302322884752,0.5133257854435743,0.4910387
0.013061535389958991,0.4956164344732777,0.49250904
0.01769931541758888,0.4949592637477352,0.49396953
0.02226902872140042,0.5007272702276329,0.49426654
0.08149508245730146,0.5188685945705411,0.4946467
0.06946878657659217,0.5074284479049029,0.48888788
0.0790405078222761,0.49852211323596807,0.48437765
0.044252725500048926,0.5151259715458454,0.49468488
0.04150356068587613,0.5115169986651762,0.4939033
0.0619462306607716,0.512223066115578,0.492336
0.027455467906463756,0.5063264668667842,0.48847824
0.017660458921130703,0.4967998120128213,0.49111003
0.028926859940008653,0.5070650593667723,0.49002707
0.041210758305252754,0.508564044853614,0.5066656
0.07272259542155664,0.5037882907377198,0.49243566
0.01347916602969386,0.4896216326097716,0.49218395
0.1082938672777744,0.5245133521185017,0.49208075
0.02819018417724468,0.4932178125582262,0.49292555
0.04670791119165924,0.5003923817770055,0.49535465
0.08795884589403417,0.5240673284916726,0.49516258
0.01478201555232039,0.4902543715088281,0.49473235
0.04652469136644988,0.4981039988805316,0.49414358
0.1299601933871831,0.5463908779762299,0.49119514
0.04823861861898598,0.5141060802788443,0.49263942
0.09459015185203895,0.5242501314654358,0.49110347
0.04677422581127159,0.5101708578786048,0.4901452
0.06811436973376502,0.5234218182469891,0.48879516
0.08033227254394022,0.4985376457011668,0.48907724
0.09588644221113868,0.5169831729156987,0.48986596
0.05371534842276202,0.5128025407950937,0.49152863
0.003581823058378138,0.4865455833383966,0.48971567
0.03687153464116949,0.5085670007232153,0.49190292
0.025654073861349515,0.49311346212404167,0.4952961
0.11037573007079603,0.5408680030087382,0.49269044
0.061615951310191694,0.5093528036352406,0.4903731
0.10152165396580418,0.5140690661886806,0.48839563
0.03376029398359686,0.4959528813659411,0.4900456
0.060227224668147755,0.5070198716996863,0.49459144
0.025061866026698743,0.4965160718437573,0.49582645
0.01819145689102411,0.496859329339929,0.49440798
0.035258822140121736,0.5002681536389898,0.48616034
0.035996222723305216,0.5064230330244255,0.4906143
0.0759041234503808,0.502728730078392,0.49867305
0.007602927227010532,0.48967722998344354,0.48889542
0.08547951358650555,0.5124887008465343,0.49252212
0.0344193741872486,0.500342895469635,0.493292
0.025756831569480405,0.498858635063114,0.4925452
0.007123831895530195,0.4897215505239247,0.49231622
0.049883297668287835,0.5018062360770753,0.4867036
