kBET,ARI,ASW
1.0,0.5078405390873834,0.5035366
0.9661016949152542,0.5039599424008379,0.5010102
0.9152542372881356,0.5064553838515146,0.4984482
0.9322033898305084,0.5082289268184761,0.4993164
0.2033898305084746,0.3494131017704616,0.38376987
0.8983050847457628,0.5072832705606196,0.49969864
0.9830508474576272,0.5081352432994843,0.4999469
0.9491525423728814,0.5069152044388376,0.50088066
1.0,0.5084893401597849,0.49957424
0.9830508474576272,0.46638515959961413,0.4987914
0.9491525423728814,0.5037847652464085,0.5044044
0.9830508474576272,0.5071402326670937,0.5026969
0.9661016949152542,0.5009623141402849,0.5004985
0.9152542372881356,0.5014140329449184,0.49935657
0.8983050847457628,0.5081838156272234,0.49939322
0.9322033898305084,0.4909652876842606,0.5017575
0.9830508474576272,0.5073273311844384,0.5018276
0.9322033898305084,0.5069152044388376,0.5016372
1.0,0.5048686928297432,0.5023718
0.9322033898305084,0.5014756940886154,0.5022884
0.9661016949152542,0.5079063844771181,0.5013474
0.9830508474576272,0.5048031809036508,0.5045055
0.9491525423728814,0.5062068062862916,0.49878794
0.9661016949152542,0.5082289268184761,0.50082815
1.0,0.4909317469469623,0.5039228
0.9661016949152542,0.5081352432994843,0.5023323
0.9322033898305084,0.5044035818255519,0.5000186
1.0,0.5070155769706091,0.5007292
0.8983050847457628,0.5082705750272476,0.50431734
0.7627118644067796,0.47567774705458044,0.49527532
0.9491525423728814,0.5048962818859428,0.4965309
0.9322033898305084,0.4962913368522637,0.50069183
0.9491525423728814,0.5078405390873834,0.50326836
0.9322033898305084,0.5066039563702254,0.4986915
1.0,0.5045791896718383,0.4992519
0.9491525423728814,0.49658619399213844,0.49902302
0.9830508474576272,0.5084789185023652,0.50244045
0.9491525423728814,0.5014654161781946,0.5004375
0.9830508474576272,0.5068010357503115,0.500698
0.9322033898305084,0.5083434758199022,0.4958645
0.9830508474576272,0.5084997622444127,0.5031702
1.0,0.47571999087330696,0.49907112
0.9491525423728814,0.4906133383581227,0.5022496
0.9830508474576272,0.5080832118223373,0.5024348
0.9322033898305084,0.5068598435000082,0.5000261
0.8983050847457628,0.5013626602406478,0.5020417
0.9491525423728814,0.5048031809036508,0.5012604
0.9322033898305084,0.4909317469469623,0.48423737
0.9661016949152542,0.5084476560930923,0.502669
1.0,0.5071402326670937,0.5020392
