NMI,ARI,ASW
0.039397268075845815,0.5041773072216056,0.49350786
0.04606273196806429,0.5097322275359687,0.48827082
0.050702939583151994,0.49991713847516717,0.49316323
0.06743401525839965,0.5181937332942149,0.4887619
0.039540783124785185,0.5105587573798145,0.48894548
0.0955662582262586,0.5277348106550992,0.49211794
0.07104703546907636,0.5215304611357923,0.4875307
0.04633560802843689,0.5137725675002104,0.49143565
0.0436742942361528,0.5063048892283599,0.4938716
0.11328778387463254,0.5381959082984857,0.4914862
0.014332674364979753,0.4960239324185454,0.49226865
0.05672542874952879,0.5085721057531466,0.48857826
0.015719509081869035,0.5007975699339312,0.49275246
0.03258943256427176,0.5047778591507295,0.49456897
0.061597615884222086,0.5167382239515432,0.4934073
0.06744616899822614,0.5145196955168972,0.49568006
0.030349552711707157,0.5085456927285349,0.49277616
0.0554736989313068,0.5132533256261226,0.4919034
0.0385503110373793,0.509765182324742,0.48744968
0.050908070132121785,0.5041202662406398,0.48596856
0.013099413556832883,0.4891844554559085,0.49428606
0.03311848182141299,0.5033585332655505,0.49123406
0.06479832717814156,0.5061956788047157,0.49356568
0.1290378872313051,0.5312448791478902,0.49296552
0.0637066669550363,0.5253219090198548,0.49363515
0.0749669335706862,0.5180625689836682,0.48700404
0.026793164666072528,0.506004148106248,0.49123338
0.04748162229226216,0.4998435907909902,0.49386677
0.02565990970723115,0.49887753818976965,0.49307263
0.026084438599538188,0.49873771314252446,0.49216163
0.06860435270612468,0.5248067427620472,0.48593295
0.055744770963503935,0.5047675676905605,0.4892883
0.011146616099819527,0.4878981474153028,0.4943007
0.02323513685621632,0.4908692018386962,0.4949886
0.00894715345170495,0.48934573760806543,0.49558553
0.03535545223655371,0.49497576690761974,0.49471185
0.0398382292713189,0.5093549102813311,0.4941273
0.019724004835920596,0.500401221655689,0.49409622
0.008201279221459473,0.4860314445010734,0.4941078
0.06721252981028407,0.5184630695088798,0.4921516
0.03358146067354616,0.4940620611295775,0.49556574
0.04215635406595581,0.5093557673566171,0.49193352
0.07648477568121363,0.5213413260017127,0.4954114
0.04191994500712212,0.5085417307655069,0.49069804
0.05755189879582134,0.5170625339487477,0.49108312
0.07436238971794254,0.5290218426377812,0.491324
0.036697186523544846,0.503512859969224,0.4931578
0.08056746728024738,0.5155509277023431,0.49475917
0.08945055973304557,0.5017897548853156,0.4893773
0.0664209294562643,0.5138027092999422,0.4886575
