NMI,ARI,ASW
0.039683288262146434,0.5072135998120024,0.49342984
0.05471323891003081,0.5134236511133633,0.49657407
0.04120432383648993,0.502358121077461,0.49141017
0.09406322107992718,0.5194699642132228,0.49829024
0.09111902257256425,0.5328680025609137,0.49355558
0.029309272265430404,0.5043539887872831,0.49339077
0.05376392101024894,0.49622560907483715,0.49187016
0.016434305955909265,0.4969407948706408,0.49365067
0.045029073834987915,0.5049618769417386,0.49630198
0.07316653702307951,0.5229470024842193,0.4899695
0.014171918808175095,0.48989136713436565,0.4952624
0.09347676495903481,0.5351236341687,0.4916645
0.048085200451554226,0.5212487147954761,0.49730027
0.0854427981439976,0.5401754101577497,0.4938318
0.043741298553153986,0.5080751695157621,0.49437135
0.07430209630959547,0.5213133933567323,0.49120975
0.020573488635523794,0.501780282377725,0.49274546
0.05383505745561749,0.5068241181242515,0.49704581
0.013921600300706946,0.4941728175036849,0.49442774
0.10216339943134314,0.5438779774341831,0.49498144
0.061439426124223886,0.5173003005053003,0.49415615
0.09093292729738464,0.5394201574360417,0.49524945
0.03595976741723312,0.49787710961263065,0.4940705
0.0734969587591469,0.5186720417234201,0.49605784
0.05674315538085662,0.49865908014918997,0.4948287
0.03419112190830214,0.5020711839960933,0.49101338
0.0473796259383178,0.49601974263646553,0.49634248
0.05935613967394484,0.5112512076014174,0.49235654
0.02662126199468885,0.5024482447474994,0.49285084
0.03470087012440092,0.5027529361685661,0.49523237
0.02146404909233323,0.4924692778013197,0.4932289
0.046222871396744476,0.5055810037992992,0.4937314
0.11539832489459405,0.5216653680675523,0.49743363
0.11570813424723264,0.554799609589913,0.4933096
0.02885611953325049,0.5072135998120024,0.4935693
0.11242379810093488,0.5161084493954369,0.49283755
0.09490245414024412,0.5196012670020496,0.48898974
0.11078282948484257,0.5267074536581143,0.49443322
0.02569405895955399,0.4936518074179704,0.49371436
0.041063379435523725,0.5151571657069126,0.49463287
0.06070285612467209,0.5188937767777253,0.49277088
0.06416315852845264,0.4962703868717618,0.49291277
0.03416690059704309,0.497502278841545,0.49147508
0.026180048250452427,0.49496033754800933,0.49415052
0.0295435115213023,0.4993961103044896,0.4942891
0.028140989736047162,0.5033643145040004,0.49964097
0.021875542068017728,0.4925481829305408,0.49239573
0.020113705728317898,0.4955911584608613,0.49248758
0.02773616038952072,0.49131812573251166,0.49383253
0.05587598223524437,0.5148409869703146,0.49665242
