run ID,associated phenotype,pipeline,Archaea Euryarchaeota,Bacteria Acidobacteria,Bacteria Actinobacteria,Bacteria Bacteroidetes,Bacteria Chloroflexi,Bacteria Cyanobacteria,Bacteria Elusimicrobia,Bacteria Firmicutes,Bacteria Fusobacteria,Bacteria Lentisphaerae,Bacteria Nitrospirae,Bacteria Proteobacteria,Bacteria Spirochaetes,Bacteria Synergistetes,Bacteria Tenericutes,Bacteria Verrucomicrobia
SRR5983391,D003093,4.1,0.0,0.0,125.0,10665.0,1.0,2.0,0.0,5809.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,25.0
SRR5983392,D003424,4.1,0.0,0.0,14.0,9037.0,1.0,9.0,0.0,2680.0,0.0,0.0,0.0,1396.0,0.0,1.0,0.0,3.0
SRR5983393,D003093,4.1,0.0,1.0,44.0,8431.0,0.0,1.0,0.0,1492.0,0.0,0.0,0.0,104.0,2.0,0.0,0.0,10.0
SRR5983394,D003424,4.1,0.0,0.0,95.0,10500.0,0.0,0.0,0.0,2609.0,2.0,0.0,0.0,95.0,1.0,2.0,0.0,5.0
SRR5983395,D003093,4.1,0.0,0.0,258.0,9550.0,0.0,3.0,0.0,6890.0,1.0,0.0,0.0,341.0,0.0,3.0,1.0,11.0
SRR5983396,D003424,4.1,0.0,0.0,38.0,11844.0,0.0,1.0,0.0,1520.0,0.0,0.0,0.0,108.0,2.0,0.0,0.0,9.0
SRR5983397,D003093,4.1,0.0,2.0,846.0,1106.0,1.0,0.0,0.0,4222.0,2.0,0.0,1.0,113.0,0.0,0.0,1.0,9.0
SRR5983398,D003424,4.1,0.0,1.0,235.0,5688.0,1.0,9.0,0.0,6617.0,0.0,0.0,0.0,237.0,0.0,1.0,0.0,24.0
SRR5983399,D003424,4.1,0.0,3.0,29.0,3644.0,0.0,70.0,0.0,2843.0,1.0,0.0,1.0,206.0,0.0,1.0,58.0,348.0
SRR5983400,D003093,4.1,0.0,0.0,72.0,8451.0,0.0,1.0,0.0,3169.0,1.0,0.0,0.0,182.0,1.0,0.0,0.0,38.0
SRR5983401,D003424,4.1,0.0,1.0,81.0,4692.0,2.0,1.0,0.0,5156.0,2.0,0.0,0.0,354.0,1.0,1.0,1.0,20.0
SRR5983402,D006262,4.1,0.0,3.0,307.0,3975.0,0.0,0.0,0.0,5013.0,2.0,0.0,0.0,182.0,0.0,0.0,10.0,587.0
SRR5983403,D003093,4.1,61.0,0.0,107.0,1674.0,1.0,2.0,0.0,7167.0,3.0,0.0,0.0,260.0,0.0,2.0,120.0,53.0
SRR5983404,D006262,4.1,0.0,1.0,65.0,3879.0,0.0,2.0,0.0,2239.0,0.0,0.0,0.0,87.0,3.0,0.0,73.0,127.0
SRR5983405,D003424,4.1,17.0,0.0,86.0,4768.0,0.0,3.0,0.0,2882.0,2.0,0.0,0.0,183.0,0.0,0.0,0.0,471.0
SRR5983406,D003093,4.1,0.0,0.0,15.0,670.0,1.0,55.0,0.0,1135.0,0.0,0.0,0.0,23.0,1.0,0.0,179.0,18.0
SRR5983407,D003424,4.1,0.0,1.0,32.0,2564.0,0.0,2.0,0.0,2193.0,0.0,1.0,0.0,36.0,0.0,1.0,0.0,0.0
SRR5983408,D006262,4.1,0.0,0.0,39.0,4437.0,1.0,0.0,0.0,765.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,2.0
SRR5983409,D003424,4.1,0.0,0.0,53.0,7843.0,0.0,21.0,0.0,3033.0,2.0,28.0,0.0,11.0,4.0,2.0,1.0,4.0
SRR5983410,D003424,4.1,0.0,0.0,186.0,10207.0,4.0,2.0,0.0,5085.0,0.0,0.0,0.0,716.0,1.0,0.0,0.0,7.0
SRR5983411,D003424,4.1,0.0,2.0,528.0,1405.0,2.0,13.0,0.0,16659.0,46.0,0.0,0.0,6573.0,0.0,1.0,0.0,15.0
SRR5983412,D003424,4.1,0.0,0.0,18.0,4609.0,0.0,1.0,0.0,2779.0,3.0,8.0,1.0,8.0,0.0,1.0,0.0,10.0
SRR5983413,D003424,4.1,0.0,0.0,85.0,5205.0,1.0,4.0,0.0,2370.0,1.0,0.0,0.0,220.0,0.0,0.0,0.0,18.0
SRR5983414,D003424,4.1,0.0,0.0,38.0,8897.0,0.0,548.0,0.0,2668.0,2.0,10.0,1.0,29.0,1.0,0.0,0.0,80.0
SRR5983415,D003424,4.1,0.0,0.0,32.0,11070.0,0.0,97.0,0.0,2189.0,3.0,4.0,0.0,68.0,0.0,0.0,0.0,97.0
SRR5983416,D003424,4.1,0.0,0.0,313.0,11594.0,3.0,5.0,0.0,4448.0,2.0,0.0,0.0,397.0,0.0,0.0,0.0,14.0
SRR5983417,D003424,4.1,0.0,0.0,32.0,40.0,0.0,0.0,0.0,1914.0,1.0,0.0,0.0,18.0,0.0,9.0,2.0,7.0
SRR5983418,D003424,4.1,0.0,1.0,122.0,2738.0,3.0,3.0,0.0,7919.0,0.0,14.0,0.0,185.0,0.0,0.0,10.0,50.0
SRR5983419,D003424,4.1,0.0,0.0,49.0,2464.0,3.0,0.0,0.0,10073.0,5.0,0.0,0.0,279.0,0.0,1519.0,2.0,125.0
SRR5983420,D006262,4.1,0.0,0.0,126.0,2908.0,1.0,1.0,0.0,3005.0,1.0,0.0,1.0,284.0,0.0,0.0,0.0,133.0
SRR5983421,D006262,4.1,0.0,1.0,181.0,3683.0,0.0,1.0,0.0,2629.0,1.0,0.0,0.0,250.0,0.0,1.0,0.0,326.0
SRR5983422,D003424,4.1,0.0,0.0,43.0,3902.0,0.0,1.0,0.0,1806.0,2.0,0.0,0.0,26.0,0.0,1.0,0.0,3.0
SRR5983423,D003093,4.1,0.0,0.0,5.0,36.0,0.0,0.0,0.0,23.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
SRR5983424,D006262,4.1,0.0,0.0,116.0,1742.0,0.0,4.0,0.0,2675.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,396.0
SRR5983425,D006262,4.1,0.0,2.0,574.0,787.0,1.0,2.0,0.0,3332.0,1.0,0.0,0.0,1156.0,0.0,0.0,0.0,472.0
SRR5983426,D003093,4.1,0.0,0.0,14.0,429.0,0.0,0.0,0.0,247.0,10.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0
SRR5983427,D003424,4.1,0.0,0.0,163.0,5401.0,1.0,0.0,0.0,3042.0,38.0,0.0,0.0,188.0,1.0,3.0,0.0,12.0
SRR5983428,D003424,4.1,0.0,0.0,276.0,7704.0,0.0,8.0,0.0,7125.0,3.0,0.0,0.0,39.0,0.0,0.0,1.0,9.0
SRR5983429,D006262,4.1,0.0,1.0,72.0,13079.0,3.0,90.0,0.0,7545.0,6.0,0.0,0.0,216.0,1.0,0.0,2.0,53.0
SRR5983430,D006262,4.1,0.0,0.0,80.0,8082.0,0.0,0.0,0.0,1919.0,14.0,0.0,0.0,543.0,2.0,0.0,176.0,346.0
SRR5983431,D003093,4.1,0.0,1.0,30.0,1071.0,0.0,3.0,0.0,842.0,71.0,0.0,0.0,79.0,0.0,0.0,0.0,2.0
SRR5983432,D006262,4.1,0.0,0.0,165.0,7823.0,1.0,5.0,0.0,4388.0,7.0,0.0,0.0,20.0,1.0,1.0,0.0,20.0
SRR5983433,D006262,4.1,0.0,0.0,107.0,3539.0,1.0,0.0,0.0,2522.0,0.0,0.0,0.0,299.0,1.0,0.0,2.0,78.0
SRR5983434,D003424,4.1,0.0,1.0,83.0,2875.0,1.0,4.0,0.0,3185.0,1.0,0.0,0.0,193.0,0.0,0.0,0.0,3.0
SRR5983435,D006262,4.1,0.0,0.0,308.0,4234.0,0.0,11.0,0.0,4737.0,0.0,0.0,1.0,371.0,3.0,0.0,0.0,630.0
SRR5983436,D003424,4.1,0.0,0.0,14.0,5135.0,0.0,0.0,0.0,782.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,82.0
SRR5983437,D003093,4.1,0.0,2.0,305.0,2653.0,0.0,2.0,2.0,8288.0,1.0,0.0,0.0,454.0,0.0,0.0,3.0,22.0
SRR5983438,D006262,4.1,0.0,0.0,1131.0,5508.0,0.0,2.0,1.0,7398.0,1.0,0.0,0.0,169.0,1.0,0.0,3.0,8.0
SRR5983439,D003424,4.1,0.0,0.0,49.0,5633.0,0.0,2.0,0.0,2111.0,2.0,0.0,0.0,339.0,3.0,0.0,0.0,7.0
SRR5983440,D003093,4.1,0.0,2.0,888.0,3476.0,1.0,4.0,0.0,5062.0,3.0,0.0,0.0,221.0,2.0,0.0,1.0,29.0
SRR5983441,D003424,4.1,0.0,1.0,128.0,7633.0,1.0,6.0,0.0,4402.0,1.0,0.0,0.0,352.0,1.0,0.0,0.0,15.0
SRR5983442,D003093,4.1,0.0,0.0,18.0,249.0,0.0,0.0,0.0,345.0,1.0,0.0,0.0,18.0,0.0,0.0,0.0,1.0
