kBET,ARI,ASW
0.9466666666666667,0.48858163740873073,0.5160524
0.9866666666666667,0.48941073277776004,0.51711464
0.96,0.4945339270105872,0.5114151
1.0,0.5078124361762442,0.5153474
0.9733333333333334,0.4655414048281309,0.5130591
1.0,0.5015111155797924,0.5180352
0.9866666666666667,0.5136278979738739,0.51287013
0.88,0.47004508618286345,0.51444125
0.9733333333333334,0.5066995483951576,0.5134445
1.0,0.4764223658895089,0.51764166
0.9866666666666667,0.5042721054651347,0.51467663
1.0,0.4974379288542713,0.51592964
0.9466666666666667,0.5055629326427096,0.51178104
0.9866666666666667,0.49940495728042367,0.51515913
0.9866666666666667,0.4765538144255692,0.5137571
0.9733333333333334,0.4988038233407158,0.5157188
0.9733333333333334,0.4950787583168009,0.5141152
0.9733333333333334,0.5039249367536502,0.5190171
1.0,0.5013034697998898,0.51243514
0.9866666666666667,0.5055484687224774,0.5135994
0.9466666666666667,0.4987401642265056,0.5151876
1.0,0.507822318989231,0.5109988
0.9733333333333334,0.4971460188339373,0.51455617
0.9466666666666667,0.4937430203665033,0.51298594
0.9466666666666667,0.4865107130701831,0.51086664
0.9866666666666667,0.5025617091776158,0.5172082
1.0,0.5026245470446125,0.5188048
0.9866666666666667,0.5062110123422878,0.51383835
0.9733333333333334,0.49684834342385154,0.5150014
0.9333333333333333,0.5068737057470265,0.5125576
0.9866666666666667,0.4752678901435152,0.51562
0.96,0.5153025848991334,0.513672
1.0,0.5048079996683337,0.51503617
0.9866666666666667,0.5031055590690123,0.51369023
1.0,0.49605553412369163,0.5142716
0.9866666666666667,0.49735987660751224,0.51710916
0.9466666666666667,0.4995188015601374,0.51199245
0.9466666666666667,0.48262058011432374,0.51456404
0.9866666666666667,0.5029277022243037,0.51780355
0.9466666666666667,0.4867580287050066,0.5173649
1.0,0.5007186396065665,0.51759374
1.0,0.5008488333948945,0.51651454
0.9866666666666667,0.5090621490621937,0.51268613
1.0,0.511217487021208,0.5134578
1.0,0.49759337467653175,0.5139878
1.0,0.5046533340333689,0.5121974
0.9733333333333334,0.5056667240472879,0.5187769
0.9866666666666667,0.4989689958247179,0.5144046
1.0,0.5105688796111475,0.51410556
1.0,0.4974928962094649,0.511292
