F-statistic,p-value,R2
7.846196547863185,0.001,0.09705090508763785
6.132103163630007,0.001,0.0774919775726167
8.651568188838237,0.001,0.1059571589467758
9.328015799756441,0.001,0.1133030561849644
10.214113894953213,0.001,0.12274496977576638
6.185546986089626,0.001,0.07811459567458982
8.300178332468075,0.001,0.10209299047937404
7.5055097499700665,0.001,0.09322976493509946
5.308613607851146,0.001,0.06779092826793334
7.192116693341501,0.001,0.08968608124966324
9.972994349161072,0.001,0.12019566640193102
6.554477440078818,0.001,0.08238979943040557
7.233029844492405,0.002,0.09015027674402247
8.85542053851063,0.001,0.10818367898243719
8.34725583712878,0.001,0.10261262966069098
13.582174281076233,0.001,0.15687033034055844
6.321979298901108,0.001,0.07970022123475541
6.026108895255447,0.001,0.07625465785292185
5.675923264415739,0.001,0.07214307794444272
8.23567027950393,0.001,0.10137997570731955
7.970754975957668,0.001,0.09843992412228826
6.8058493961379645,0.001,0.08528008219491891
7.825459195743845,0.001,0.09681923583993597
9.112210486590886,0.001,0.11097266085753386
9.763884033441798,0.001,0.11797276248534416
11.193133283934753,0.001,0.13294591669592323
9.157472207916413,0.001,0.11146243867802484
9.568404960628921,0.001,0.11588458036934857
7.553136403041197,0.001,0.09376588845963342
9.996301330675895,0.001,0.12044273263272764
6.8955943149355186,0.001,0.08630756644420468
6.7254058044451055,0.001,0.08435712225713286
7.46044988914307,0.001,0.09272195096375849
7.058634732046803,0.001,0.08816831258329329
10.969957801768167,0.001,0.13064145902830465
9.534842052808337,0.001,0.11552505360957317
9.673937131220827,0.001,0.11701314183049327
8.55700008424067,0.001,0.10492048598406142
7.881154697180938,0.001,0.0974411743586993
8.529167683578333,0.001,0.1046149240316148
9.611811140644324,0.001,0.11634911531331134
8.266045050023152,0.001,0.10171585248100858
7.316596007625042,0.001,0.09109693850733445
6.486080547975699,0.001,0.08160020601419479
6.105129336629801,0.001,0.07717741425653428
10.078230601358399,0.001,0.12131012575024211
8.056502800919903,0.001,0.09939366395694622
5.394060701865562,0.001,0.06880700723463351
8.658480485564935,0.001,0.1060328386479776
6.223239079853507,0.001,0.0785532017137138
