F-statistic,p-value,R2
7.260996247400566,0.001,0.09046730774458496
8.01786679860445,0.001,0.0989641805619913
7.716684579525292,0.001,0.09560210035537953
8.765158574123076,0.001,0.10719918761213118
7.9528364886379945,0.001,0.09824036851079582
6.762701793340207,0.001,0.08478526480787864
8.191152349823247,0.001,0.10088725326289914
6.618867587181468,0.001,0.08313189810108648
6.717636666198308,0.001,0.08426788534044319
6.230990532816681,0.001,0.07864335017035876
8.01986723176678,0.001,0.09898642772179586
12.057533822259611,0.001,0.14175738797524537
8.33712849121834,0.001,0.10250089529677052
6.814392347688892,0.001,0.08537798944836807
7.839413588817989,0.001,0.0969751417135758
11.682594948065884,0.001,0.1379574510586335
6.089986649166397,0.001,0.07700072926021394
9.117492017094838,0.001,0.11102984020988856
11.558082381893064,0.001,0.1366880853528919
8.941819842190302,0.001,0.10912400846614255
6.84302137691894,0.001,0.08570594222148417
6.144099894438967,0.001,0.077631812132981
7.757430445432451,0.001,0.09605841100496781
9.235969828680622,0.001,0.11231058438201193
8.234949402352829,0.001,0.1013720013730238
8.889473652827116,0.001,0.10855453401146899
7.908081987334345,0.001,0.09774155798888307
7.439077939456262,0.001,0.09248089523173551
9.011422638967739,0.001,0.10988009168720309
7.284937346112084,0.001,0.09073853187063448
7.647313786186036,0.001,0.09482416000191607
7.874446468568147,0.001,0.09736631052712738
8.576519815188632,0.001,0.10513466172151881
6.817908521566466,0.001,0.0854182807824925
7.863255298829288,0.002,0.0972413894267639
8.251826560267842,0.001,0.10155865916622958
6.858718576860638,0.001,0.0858856578102917
7.487479108117777,0.001,0.09302663210584523
6.730232957830543,0.001,0.08441255855090973
7.598703964676419,0.001,0.09427824010677224
7.750286372646849,0.001,0.09597843822968982
9.430665944446426,0.001,0.1144072516750278
7.175797773724231,0.001,0.0895007966615573
8.605612516700726,0.001,0.10545368451146142
10.921064915664342,0.001,0.13013496583532821
8.142860187845274,0.001,0.10035214643647757
6.470747645547179,0.001,0.08142301207996426
6.991710816362015,0.001,0.08740544170149046
6.632958693432966,0.001,0.08329413853588188
8.393275024287977,0.001,0.10312000618949663
