F-statistic,p-value,R2
7.084181420939282,0.001,0.08845918501312182
9.58254790777542,0.001,0.11603599247720947
6.304080275229603,0.001,0.07949250849831321
8.921985324735617,0.001,0.1089083142866864
7.080719285609227,0.001,0.08841977630540158
7.890217048999323,0.001,0.0975422904876101
8.24316668923851,0.001,0.1014628925134008
9.10684768005435,0.001,0.11091459406091185
8.201343223290513,0.001,0.1010000930740536
5.76350773330166,0.001,0.07317484834242363
8.49722196235926,0.001,0.10426394615369629
6.503947571156929,0.001,0.0818065991671146
9.130309867943112,0.001,0.11116857932989281
6.9336466698162775,0.001,0.08674252906860672
7.0285158725835775,0.001,0.08782514327485395
7.82432172334917,0.001,0.0968065250226383
6.878028354023545,0.001,0.08610663652762895
9.137238063160114,0.001,0.1112435513857181
6.9617343180439715,0.001,0.08706332319349161
7.5775712183525314,0.001,0.09404070020699068
6.618145476923481,0.001,0.08312358241051575
8.418157173306339,0.001,0.1033941010896069
7.672392821388465,0.001,0.09510555659822083
6.732215328506437,0.001,0.08443532267062805
10.295343260824183,0.001,0.12360046621797562
9.296800458317815,0.001,0.11296673025613571
8.581832779276018,0.001,0.10519293924781788
8.005740149525822,0.001,0.09882929450120807
3.6984755481631795,0.007,0.04822097860133744
7.7314524783107546,0.001,0.09576753843723894
7.573038745590846,0.001,0.09398973730533727
7.251309029471604,0.001,0.09035751711923631
8.662191981367057,0.001,0.10607346889909001
7.240071932877362,0.001,0.09023012764661835
7.274032875987315,0.001,0.09061501727743922
7.52016633323955,0.001,0.09339481866091413
8.445774412124608,0.001,0.103698128884969
8.337654105856398,0.001,0.10250669505424152
5.529529418814437,0.001,0.07041337774131178
7.0837470383511105,0.001,0.08845424072076438
8.191495806805788,0.001,0.1008910566975802
8.0579497371487,0.001,0.0994097403558649
8.725767792864884,0.001,0.1067688689689703
6.998593027239867,0.001,0.08748395143470605
7.768608423624391,0.001,0.09618351207536856
6.494372886319686,0.001,0.08169600753511087
6.871921285243796,0.001,0.08603675953533588
7.995191157269228,0.001,0.09871192404182218
6.805083677396277,0.001,0.08527130558380362
7.448458506050636,0.001,0.09258671507659064
