mean_all,mean_intra,mean_inter
3.4416715764887056,3.2614421128375564,3.0621054164772263
3.0994646929887573,2.719903397231348,2.9156966079130853
3.1234307303053366,2.8853167097158794,2.7328107309875924
3.1511963366069167,3.0940596024453306,2.5518766983064225
3.432200516915833,3.3337177425733366,2.959798542768418
3.4135402790453027,3.2623128102728907,3.2455423766858966
3.0171393750133584,2.7576142037254234,2.8796269233533516
3.146352704151458,3.0935437501250624,2.7256176396114795
2.6790989938609853,2.4491097872097356,2.434278841296297
2.8968274043828215,2.711729465622888,2.743359608280031
3.460819921450112,3.4346043381261135,2.9611242826086235
3.3295586876660743,3.2047471722673144,2.9688052771983924
3.2492122407284336,3.0739502154208247,2.6797933099354765
3.1118602170792204,3.168696732911885,2.6111969350233473
3.139461739909936,2.8009232447839736,3.002428246142143
3.0712726924255986,2.866025460044327,2.924564565301107
3.2946471186644235,3.05784519663685,2.9155195756137435
3.146400946392932,2.9124612571895905,2.978675011589689
3.1530496868431106,3.095014442458814,2.7943590740535846
3.2962169286545286,3.26431795387851,2.710940177640498
3.522725841219124,3.319347701046512,3.374092544464247
3.1223629371738113,2.9891182401664,2.6155601527987837
3.09470909346417,2.863768851735104,2.723122166967763
3.190819986039684,3.0931033598204043,2.868647373270603
3.3225523498923537,3.4112495728161,2.726164243306565
3.190519681722752,3.152243191985098,2.7940701450374226
2.966723909340888,2.737376930611492,2.573778885171867
3.6372454279479856,3.449548140892163,3.368207889567283
3.099185813212698,2.824267056729376,2.78821571851855
3.4153124457824218,3.337310243059201,3.056951792522168
3.2598332216110832,3.1379420179718265,2.933461222001974
2.932275484539785,2.495245936411855,2.670913998504421
3.2217986185651477,3.033577944181396,2.9150571825921077
3.2487125335957816,3.2303693981390307,2.6484912553499864
2.8554735439002745,2.6447341893158227,2.563653037341191
3.264475485824149,3.134411183701706,2.99644864795459
3.346659327211153,3.349663560011638,3.0151227483334138
3.2153365101770897,3.020094900551995,2.7391017478673985
2.909139158238868,2.775572013886115,2.558639895653491
3.11272995320749,2.9674371496427585,2.746126233793663
3.1027059282945775,2.926891026105089,2.8662182584909637
3.3268179780319844,3.2376594519094657,2.843316396594703
2.9448896516744627,2.7694728588451643,2.611170664719021
3.4609341384724313,3.301914443940782,3.0109033391769295
3.1865172116847655,2.980024375493975,2.8548402457840796
3.33797028368937,3.2413770700938302,2.963062146687793
3.2247006090879906,3.028755898440787,2.855659186563551
3.5352531652520707,3.198084127212062,3.46851287817821
3.217698710083838,2.8683934574029575,2.9775769215883816
3.117001004468126,3.0392101152537707,2.626776786663415
