mean_all,mean_intra,mean_inter
3.5049834362739056,3.3383789637252166,3.25188804501553
3.0867806439051058,3.0033054021464247,2.8580383559057188
2.9166591976909717,2.6955025272805355,2.4485865403584586
3.1927931271163756,2.8208813349182935,2.9078843385488815
3.554859731430771,3.3379734265589183,3.15280140396449
3.1711745048678,2.8079695277028334,3.0453729842816326
2.806157988538485,2.445038848437438,2.4438180449340403
2.9265465307677583,2.6145023700415084,2.6804165041439774
2.7168201980666957,2.4274393828537257,2.5214791012801308
3.139724954591229,2.9599380018081805,2.8633124226314526
3.587369774018922,3.4159485511471823,3.1361269109413503
3.3383683286100863,3.3568134747811844,2.838682369484669
3.5194920406402166,3.3907808712719323,3.227843537351835
3.11274923336051,2.976735547788918,2.7808353187249946
3.156283996722933,2.836755304427173,2.9227073215562984
2.955592427434997,2.69905026360962,2.610387811363208
3.133454820559669,2.953074138993335,2.898140888252026
3.0848002217289916,2.865105528612495,2.8261847529033406
2.4240088179178723,2.2808410922835423,2.1071217669750495
2.9784781495517985,2.558813732309127,2.9157105733116873
2.9584177704166055,2.816352325632535,2.6217276469641737
3.2454430035751636,3.1512487706305836,2.8481086072465707
3.220603136000362,3.2399813951886665,2.6752170040006242
3.157212546819059,2.866553177575192,2.885306789625475
2.88256461469211,2.5973267627039065,2.6773619332266274
2.9167792258152025,2.7172830754082504,2.5605393321898804
3.0551022924095874,2.948169098698273,2.6368380439878782
2.9570419178743217,2.5989178879156034,2.603819268200935
3.133060706580696,2.8451589636797294,2.8215127590041145
3.4010358375887106,3.233421398763708,3.004353446786859
3.068575071953425,2.874339211498667,2.696263124996872
3.3949084098618454,3.3679977533222463,3.036778227532064
3.523326190454665,3.250051411654364,3.496538680106298
3.124202593421527,3.1200450417771624,2.7641073183238842
3.0043918063046493,2.737562160066066,2.7199814493059153
3.3775147763472533,3.1782253709431822,3.012280806715806
2.7837927604581707,2.4837981547092403,2.5812411488499127
3.345543490284958,3.1866747893005205,2.977411314583809
3.157548863634527,2.8544670166134365,2.8758683581229967
3.289088744516706,3.096715628303765,2.951437555890397
3.275526214750184,3.150691104094846,2.9095960905892415
3.0315827687925143,2.746629090254068,2.6429661659364467
3.068717285971272,2.6845647106257875,3.013133597392673
3.1098488047493116,3.059986928169882,2.798963382355086
3.0695211160872824,2.8677578668152446,2.7608818342896067
3.6012132252318527,3.3759324418331924,3.2759785869488853
3.1555852830755886,3.0444596583065624,2.7085314141511616
3.2593045580627407,3.0819317469191243,3.0118655620883574
3.2579122639461837,3.195741057626555,2.7675739909760555
3.02629325527135,2.874524437015236,2.7863847190651474
