kBET,ARI,ASW
0.9866666666666667,0.5124345067369593,0.5151372
0.9733333333333334,0.49483643122925325,0.5139404
0.9733333333333334,0.5039249367536502,0.51790917
1.0,0.507615185377708,0.51477623
1.0,0.4999315296830049,0.51382726
0.9733333333333334,0.5029516855678111,0.51614594
0.9866666666666667,0.5007730683733127,0.5138783
0.9866666666666667,0.49716302625308906,0.51649356
0.9733333333333334,0.4884474234484394,0.5202927
1.0,0.5062290724108078,0.5144932
1.0,0.5006774619384815,0.5155439
0.9733333333333334,0.5074215317211803,0.5118513
1.0,0.4980728696410832,0.5172314
0.9866666666666667,0.4951115220992862,0.5168271
0.9733333333333334,0.49620637241093923,0.51711845
0.9866666666666667,0.4991028225845069,0.5154145
0.9733333333333334,0.5026729789702888,0.51583827
0.9733333333333334,0.5089005407202372,0.5149862
1.0,0.508202107980097,0.51434433
0.9866666666666667,0.5046297661525758,0.51721525
0.9733333333333334,0.4909634398310754,0.5142406
0.9733333333333334,0.5128392959920918,0.5150167
1.0,0.5112592201113795,0.5154915
1.0,0.4900946142507482,0.5161228
1.0,0.4817203728727998,0.51295304
0.9466666666666667,0.4970039918945577,0.5104624
0.9866666666666667,0.49020322665555205,0.5140375
0.9733333333333334,0.4868307174101191,0.5145697
1.0,0.5076199583060969,0.5147259
0.9866666666666667,0.4989128628009928,0.51490974
0.9866666666666667,0.4868750348004779,0.5132977
0.9733333333333334,0.49614563407719225,0.5159311
0.9733333333333334,0.49777778551798846,0.51496005
0.9733333333333334,0.5023938336407672,0.51322687
0.9333333333333333,0.48142661154647737,0.5170602
0.9866666666666667,0.49400614924130193,0.5137483
0.96,0.4992948630120806,0.51532227
1.0,0.5032474462953389,0.51760113
0.9866666666666667,0.4979473316764753,0.5148732
0.9866666666666667,0.48503713400270587,0.5158149
1.0,0.5127891829371114,0.5144131
0.9733333333333334,0.49770921795529843,0.5170394
0.9866666666666667,0.5006790302153732,0.51429
0.9866666666666667,0.4914709984888992,0.51497793
1.0,0.5023451466816123,0.5165647
0.96,0.49408779103915246,0.5126021
0.96,0.49868625060302263,0.5159209
1.0,0.5025617091776158,0.513249
1.0,0.5041913807523336,0.51519144
0.96,0.47070999878642117,0.5127387
