kBET,ARI,ASW
0.9733333333333334,0.4768646949513571,0.5162184
0.9866666666666667,0.5054888024306081,0.5155396
0.9866666666666667,0.49610213734037567,0.5168855
0.96,0.47111675040528667,0.51552796
1.0,0.50825149406109,0.5142438
0.96,0.5108701930841476,0.51520777
1.0,0.5017923160158257,0.51794875
0.96,0.4857927006343895,0.5132532
0.9866666666666667,0.513480097342087,0.51515496
1.0,0.5044698474121206,0.5154277
1.0,0.5168006049797964,0.51388884
1.0,0.483764888790152,0.51356876
0.9733333333333334,0.4979473316764753,0.5166949
0.96,0.501993716747019,0.5147277
0.9866666666666667,0.4950050047982343,0.5139498
0.9866666666666667,0.502379134821663,0.5121098
1.0,0.4885332031876527,0.51574695
1.0,0.4982916816011548,0.5147181
1.0,0.4926766207544806,0.5127704
0.9866666666666667,0.49929604513065573,0.5156977
1.0,0.5087042444160488,0.518286
1.0,0.48887634342739394,0.5157154
0.9866666666666667,0.504179557009389,0.5154265
1.0,0.49705120041148454,0.5158386
1.0,0.49301911754792027,0.51467675
1.0,0.5143623171488896,0.51496625
0.9733333333333334,0.49485061536333963,0.51574826
0.92,0.507617111982466,0.51389813
0.9866666666666667,0.5088647378756644,0.5179262
1.0,0.5052359732326375,0.5147366
0.9866666666666667,0.5043709125652753,0.51589715
1.0,0.5019693768238556,0.5153863
0.9866666666666667,0.5039249367536502,0.5127827
0.9733333333333334,0.495168639464181,0.5188923
0.9866666666666667,0.49975756736164023,0.5143689
0.9866666666666667,0.5065038432517797,0.51442
0.9866666666666667,0.48893197406776845,0.5150356
1.0,0.49341691701459944,0.5158429
0.9733333333333334,0.4886785427801721,0.5148907
1.0,0.5044419584418947,0.5149828
1.0,0.5126482198213225,0.5161461
1.0,0.5008335921925441,0.51287484
1.0,0.49575004231152564,0.51410884
0.96,0.49535945543186355,0.5165144
0.96,0.49917117888418816,0.5153909
0.9733333333333334,0.482405046399319,0.51459736
0.9733333333333334,0.49978159122797183,0.5138609
0.9866666666666667,0.5008982981302903,0.5121794
0.9733333333333334,0.5037369244511359,0.5178608
0.9733333333333334,0.4990750184266167,0.51754946
