F-statistic,p-value,R2
9.969612902247396,0.001,0.12015980976063287
9.252425853639501,0.001,0.11248818205195951
8.648441427776751,0.001,0.1059229212039136
9.832003909852386,0.001,0.11869812929496114
9.112831214197092,0.001,0.11097938141270068
9.126444328433786,0.001,0.11112674368241256
9.965755919713702,0.001,0.12011890700251807
10.29802201106564,0.001,0.12362865002601875
9.806659575468402,0.001,0.11842839242332677
9.574725107966174,0.001,0.11595224925601935
9.711146365520886,0.001,0.11741037081755513
9.104585571751274,0.001,0.11089009838305278
10.283199471953193,0.001,0.12347267560747599
9.30372487758751,0.001,0.11304135859495039
9.238901516730492,0.001,0.11234222911952381
9.417021452216714,0.001,0.1142606379881911
9.110537299645225,0.001,0.11095454492519304
10.064967686883616,0.001,0.12116982606703554
8.799522314579965,0.001,0.1075742506262966
10.149960898728581,0.001,0.1220681379644976
9.959826472414871,0.001,0.12005601862880742
11.426620486211071,0.001,0.13534381004954849
9.498060811285777,0.001,0.11513071601782955
9.150933727909129,0.001,0.1113917190304592
10.366783913925067,0.001,0.12435149141207863
9.365597806747337,0.001,0.11370764076431086
9.92556734001034,0.001,0.1196924863873847
9.994018412481827,0.001,0.1204185386326442
2.782897862725675,0.001,0.03672197740137438
10.277483581625969,0.001,0.1234125136784699
9.783191722111061,0.001,0.11817847945451963
10.226329075743042,0.001,0.12287372504963198
9.735464016504492,0.001,0.11766978202433738
9.37515935206218,0.001,0.1138105155219646
9.960606607512386,0.001,0.12006429334149078
9.183869400946246,0.001,0.11174783406876806
9.477776851229715,0.001,0.11491309796486596
9.689385786095977,0.001,0.11717810809673741
8.891713009925724,0.001,0.10857891089478125
9.205506458930326,0.001,0.11198162818362264
8.981464365276464,0.001,0.10955481747994483
9.949589729231032,0.001,0.11994742543886079
10.175446730240973,0.001,0.1223371455189477
9.491001995407618,0.001,0.11505499710060493
9.592402007918128,0.001,0.11614145823000166
10.092212812381756,0.001,0.12145798590259584
9.812996895864275,0.001,0.11849585528469556
10.09929679798974,0.001,0.12153287918357035
9.321710319731887,0.001,0.11323513910883291
9.942396288508453,0.001,0.11987110010572431
