F-statistic,p-value,R2
10.016905404165245,0.001,0.12066103109238112
9.615849553834254,0.001,0.11639230977789995
10.952932910707517,0.001,0.13046516102489325
10.050220158268646,0.001,0.12101376900766742
10.668476829645755,0.001,0.12750891654652013
8.743994190564068,0.001,0.10696803205113523
10.496952950759072,0.001,0.12571659898714477
9.253983711103265,0.001,0.11250499116985738
9.6695627217899,0.001,0.1169664191200713
8.534549629694915,0.001,0.1046740267586715
10.025918421364965,0.001,0.12075648920235259
10.667675922571258,0.001,0.127500564643907
10.36437370525106,0.001,0.12432617489451872
9.581655133452534,0.001,0.11602643611306304
9.47598335509575,0.001,0.11489385115055169
10.462902434544743,0.001,0.1253599159548784
9.325916717520208,0.001,0.11328044787548062
9.551708474120304,0.001,0.11570576370463288
10.209802590012444,0.001,0.12269951703067629
9.637724706969202,0.001,0.11662621086367361
8.001797055952162,0.001,0.09878542633350348
9.382721723761621,0.001,0.11389186382094689
9.96695590705408,0.001,0.12013163310727978
10.118824653609346,0.001,0.12173926539239083
10.814514466837315,0.001,0.12902913696548665
10.181332401092373,0.001,0.12239924640782343
9.605961261248208,0.001,0.11628653809703343
8.923334664721278,0.001,0.10892299124835236
9.655218905969717,0.001,0.11681317929789398
9.638504093799412,0.001,0.11663454220878879
9.570672684249729,0.001,0.1159088617437814
10.35516608096731,0.001,0.12422944572995975
9.290993639801014,0.001,0.11290413724336554
8.654774422626959,0.001,0.10599226418570175
9.523368618581156,0.001,0.11540208280393502
9.255574005033063,0.001,0.11252214961707922
9.015196434884347,0.001,0.1099210491075508
9.17419056826029,0.001,0.1116432118748951
9.09219042627653,0.001,0.1107558511846731
9.706773401983108,0.001,0.11736370556743739
8.621094643942177,0.001,0.1056233646651053
9.812129462279453,0.001,0.1184866217786228
10.20031829568258,0.001,0.12259951049023683
9.28501423574248,0.001,0.1128396746598521
10.175031334141199,0.001,0.12233276225968324
9.970504028489858,0.001,0.12016925948848343
8.892685778050108,0.001,0.10858949970393615
9.047609777404666,0.001,0.11027267950828612
11.081244757426532,0.001,0.13179211118241413
9.999653567754592,0.001,0.12047825669045277
