R2,p-value,test statistic
0.19609881889158198,0.001,17.807180926575683
0.17506270101182858,0.001,15.49157395300019
0.19365694222923016,0.001,17.532186389521453
0.20008339004724637,0.001,18.25951266884142
0.21059066780512978,0.001,19.474204475175284
0.1964380808512217,0.001,17.845519505615297
0.19883846197691937,0.001,18.117704152563732
0.19713129383425085,0.001,17.923957353656565
0.20851194341557008,0.001,19.231334879546495
0.22015074393582446,0.001,20.60783437612546
0.22839367284616155,0.001,21.607829706722555
0.2567005551728004,0.001,25.21075544724893
0.21422862948935795,0.001,19.9023412402518
0.2189648812212511,0.001,20.46570755249149
0.19181795557262157,0.001,17.326183937583917
0.21755583033522824,0.001,20.2973914691906
0.20968811693238845,0.001,19.368597213354587
0.19289053766241224,0.001,17.44622000660731
0.20606862446241558,0.001,18.94749351046929
0.2245767728564208,0.001,21.1421374091534
0.20685343345699833,0.001,19.03847445015976
0.19008667203613588,0.001,17.133101258530022
0.24306670246510503,0.001,23.441787192793782
0.22011017997690907,0.001,20.602965605883433
0.22096235389118715,0.001,20.70535604360723
0.2114242684015532,0.001,19.571958627269254
0.22552390981375633,0.001,21.257267493493803
0.21745256975794408,0.001,20.285080467799624
0.245904949372817,0.001,23.804772739571348
0.2130308868699098,0.001,19.76094675386925
0.19810459463045121,0.001,18.034316335006782
0.25120356830266616,0.001,24.48978081336111
0.21607730120980004,0.001,20.121426529246193
0.21251755353312685,0.001,19.70047901070373
0.2148376316703434,0.001,19.97439987514834
0.20807788204113303,0.001,19.180781852833256
0.20176448965796456,0.001,18.45170698898158
0.22511070856026336,0.001,21.207005834816382
0.2270894047927814,0.001,21.44818126788465
0.22164080133360858,0.001,20.787033191199118
0.22637291739144805,0.001,21.36070897861433
0.20561635762892827,0.001,18.895144998341127
0.20616096511963714,0.001,18.958188993567965
0.18177708757221464,0.001,16.217741145134244
0.1875635562680181,0.001,16.85318244054827
0.2284656350676528,0.001,21.61665392752931
0.18895218409264775,0.001,17.007023714541322
0.177889175396669,0.001,15.795814159511337
0.2244896348303862,0.001,21.131559394482096
0.2221996518619195,0.001,20.854419292495013
