R2,p-value,test statistic
0.1428359618789017,0.001,12.164562153139139
0.2251579613372238,0.001,21.212750931768664
0.17258739854342023,0.001,15.226840963614247
0.13925981602925327,0.001,11.810726116257392
0.16474634069525013,0.001,14.398599439556946
0.1664677536470716,0.001,14.579095253251724
0.15132001646960502,0.001,13.01593229090874
0.13883099353402478,0.001,11.768494281481354
0.16112780031757723,0.001,14.02159879375676
0.16216247176795637,0.001,14.12906445482382
0.15309893245724918,0.001,13.196608786675101
0.24129760348271032,0.001,23.21690973311225
0.12582529051072433,0.001,10.507334640977234
0.2397703537813758,0.001,23.023616499437217
0.20770456506475335,0.001,19.13734773817825
0.16324359212063322,0.001,14.241638441715095
0.11527094773778379,0.001,9.511136955819376
0.16562167766230254,0.001,14.490288332844239
0.13435673359874672,0.001,11.33035042654877
0.18821594307855927,0.001,16.925392569103476
0.10490720181580841,0.001,8.555789688052108
0.1478901492328767,0.001,12.669705536534723
0.16626929341915794,0.001,14.558248033559273
0.24741743912303663,0.001,23.999324452768537
0.20328220149862472,0.001,18.625918408391108
0.15457634665564046,0.001,13.347241068100924
0.19166089742782969,0.001,17.30863379949184
0.1399626048177067,0.001,11.880030111396422
0.18695201398289216,0.001,16.785598458470275
0.139301131495887,0.001,11.814797220395274
0.10404626319494079,0.002,8.477421211853567
0.15723918509292611,0.001,13.62006907386797
0.11629279015295606,0.001,9.606545682291278
0.13305805887703634,0.001,11.204023980477793
0.1391337842068253,0.001,11.798309726604993
0.18427722994316081,0.001,16.491188280686824
0.13120613743379628,0.001,11.02453463975439
0.15287460779265755,0.001,13.17378332832752
0.16941900265276735,0.001,14.890284310804699
0.1750702674397197,0.001,15.492385616208413
0.1952586018176815,0.001,17.71237066327916
0.17160909735274532,0.001,15.122648096106449
0.18090011611346613,0.001,16.122219934427864
0.15038360095943348,0.001,12.921128738140656
0.12542646978217895,0.001,10.46925384514969
0.11356413406620945,0.001,9.352263491843525
0.24796119333582742,0.001,24.06945885386814
0.11880547824947908,0.002,9.842094677328657
0.11166483939212594,0.001,9.176191191224746
0.10988276144860487,0.001,9.011668618846773
