R2,p-value,test statistic
0.12260872208868061,0.001,10.201191803251927
0.11524299316609268,0.001,9.508529953585395
0.15024322656588704,0.001,12.906935116252006
0.13699571435797075,0.001,11.588224200638688
0.19039398290002935,0.001,17.167314049230832
0.12674901079782666,0.001,10.59566825878417
0.156416089275515,0.001,13.535552743420972
0.1523967139661171,0.001,13.125197014729162
0.14741561514946128,0.001,12.622023223891413
0.17093019099139536,0.001,15.050486469037928
0.14292565356046238,0.001,12.17347451041669
0.13344616695879105,0.001,11.241736885293411
0.13532682656778197,0.001,11.424962220390302
0.13040944384613284,0.001,10.947553803796401
0.14550150002951548,0.001,12.430226036115354
0.1386883978123914,0.001,11.754460307501272
0.12344171407349006,0.001,10.28025776727444
0.1725289628427446,0.001,15.220610416515198
0.15966086205532815,0.001,13.869689514337887
0.14235457315350916,0.001,12.116760044318646
0.15195038812049239,0.001,13.079869594200073
0.19404310893229826,0.001,17.575564039526125
0.1272449699350861,0.001,10.643173038567758
0.14991893190568265,0.001,12.874162759145904
0.11967404063292489,0.001,9.923829773785787
0.15836069627666544,0.001,13.735493075305229
0.16096252565776223,0.001,14.004457169482503
0.12144290739062535,0.001,10.090786716188253
0.17052052061056075,0.001,15.00699934582302
0.20018165816835806,0.001,18.270725090930913
0.1299734701097206,0.001,10.905487352444483
0.1552550882877159,0.001,13.416619961676
0.1616663767281957,0.001,14.077504675405295
0.1476563117722101,0.001,12.646202357388326
0.20860844193283806,0.001,19.24258112923263
0.16507871765912144,0.001,14.433392277807371
0.15942826088395606,0.001,13.845651124040574
0.19009620177472492,0.001,17.134161810283324
0.1730864813999517,0.001,15.280090188376484
0.16059405742030783,0.001,13.966265422965444
0.14853137453495788,0.001,12.734221810145941
0.2092073277856982,0.001,19.31243860112209
0.15504602553784286,0.001,13.395238328178836
0.15521404600584524,0.001,13.4124215783364
0.19641948001958592,0.001,17.84341666442991
0.14251113896415699,0.001,12.13230120775715
0.1679323360894721,0.001,14.733249549581918
0.17059810041341844,0.001,15.015231260486765
0.17138132565767428,0.001,15.098424836901085
0.14082248521412397,0.001,11.96497958072499
