R2,p-value,test statistic
0.1951001545847135,0.001,17.694513629004106
0.2041014427606074,0.001,18.720231599870655
0.20696030097361878,0.001,19.050877263297743
0.19252459335855743,0.001,17.405230177388507
0.22284659235277982,0.001,20.932548299572673
0.20306577184256983,0.001,18.601034841709968
0.20298448612396072,0.001,18.59169266980388
0.2090187327922253,0.001,19.290428391175013
0.19802816949794685,0.001,18.02564108056051
0.21848625636506908,0.001,20.408466062882884
0.2106957212391053,0.001,19.486512444352293
0.18562193446454817,0.001,16.638956510945142
0.18721411858517026,0.001,16.814552232289888
0.19801259432713195,0.001,18.023873297303144
0.22029297809902856,0.001,20.624910318265083
0.21196537764579393,0.001,19.635523781831928
0.21196551183489198,0.001,19.635539556112843
0.21985433415253772,0.001,20.572268866867358
0.22942779457018186,0.001,21.734795111486363
0.21031577229761092,0.001,19.442013451877823
0.2183001759641823,0.001,20.386230564963157
0.22982752233864917,0.001,21.7839634852526
0.19446811191234395,0.001,17.62335219689815
0.2185567538075018,0.001,20.41689285266075
0.19568999181409455,0.001,17.761024054206512
0.18931176248963588,0.001,17.046946066695266
0.22666294009839325,0.001,21.39609684461254
0.19292692717854928,0.001,17.450298068796847
0.21131316304671222,0.001,19.558917658624033
0.2158113177873782,0.001,20.089841330057695
0.22229610649870976,0.001,20.86605957615524
0.20232963110477734,0.001,18.51649960510048
0.2257571532922867,0.001,21.28566283875329
0.20995008100016693,0.001,19.399224712806312
0.2407410707055644,0.001,23.146383247461397
0.24752408418494354,0.001,24.013071735231378
0.20107155875522004,0.001,18.372388603742134
0.2116907531769099,0.001,19.603252206151573
0.21957253483386951,0.001,20.538481483939584
0.20411534659900954,0.001,18.721833921605246
0.19333829719986734,0.001,17.49642464319058
0.23310545008505934,0.001,22.18909739037358
0.21481144510405165,0.001,19.971299116393535
0.2061807037425021,0.001,18.96047556939252
0.23213084279085663,0.001,22.068279946705946
0.19493816479126502,0.001,17.676264613975512
0.20589184563786725,0.001,18.92702480008814
0.2124993068157413,0.001,19.69833110219184
0.1865645914742789,0.001,16.74283542968208
0.20122120040316557,0.001,18.38950612715949
