NMI,ARI,ASW
0.11491888122530222,0.5929607071402626,0.55234
0.4700157212411595,0.7098318188257675,0.5565876
0.3285278473781165,0.5896214530622976,0.55422443
0.4104636813749266,0.6597897335357245,0.54981476
0.6490911878005181,0.8734747931825808,0.5468855
0.4700157212411595,0.7098318188257675,0.5499519
0.6297121973472457,0.8731897965866414,0.5446864
0.5408580444763099,0.7659934022788448,0.552342
1.0,1.0,0.55036473
0.04904661725607929,0.5493135809388544,0.5526363
0.8411422703337966,0.9471646667963805,0.5504596
0.905976857860942,0.973188699849747,0.54672945
1.0,1.0,0.54999083
0.4700157212411595,0.7098318188257675,0.5497851
0.8411422703337966,0.9471646667963805,0.5553664
0.7873817147022486,0.921915872364107,0.54749626
0.7873817147022486,0.921915872364107,0.5507237
0.3435350337331789,0.602349350002397,0.5491428
0.5408580444763099,0.7659934022788448,0.552407
0.3285278473781165,0.5896214530622976,0.5520865
0.7873817147022486,0.921915872364107,0.5463591
0.6993260289222768,0.8736988872238021,0.5508931
0.39256392779732247,0.6444436185546594,0.5532171
0.5677494690594694,0.7861035775923595,0.5492353
0.905976857860942,0.973188699849747,0.5470739
0.2737706438068621,0.5451652392558687,0.55103725
0.6993260289222768,0.8736988872238021,0.5586895
0.6993260289222768,0.8736988872238021,0.54582244
0.7407462079586322,0.8974308917694831,0.5469324
0.8411422703337966,0.9471646667963805,0.55048054
0.747611836791679,0.921739988750613,0.54944617
0.6279437296273573,0.8284532978421661,0.5558706
0.3140944724541166,0.5775408652000683,0.5479948
0.4700157212411595,0.7098318188257675,0.5454067
0.5677494690594694,0.7861035775923595,0.5445418
0.31154676494187783,0.6443563496157919,0.55169994
0.6279437296273573,0.8284532978421661,0.5525274
0.5677494690594694,0.7861035775923595,0.5472147
1.0,1.0,0.5656976
0.6279437296273573,0.8284532978421661,0.5568556
0.4547182679855913,0.746493128998352,0.553331
0.3001862548835713,0.5661055894709649,0.5393214
0.3285278473781165,0.5896214530622976,0.5479313
0.44908760041816076,0.6924788809156145,0.551343
0.6279437296273573,0.8284532978421661,0.5504626
0.3285278473781165,0.5896214530622976,0.5436926
0.1165409988417634,0.5907307932408168,0.54756856
0.2867586576317791,0.5553140792333272,0.5532808
1.0,1.0,0.552855
0.4104636813749266,0.6597897335357245,0.55309284
