F-statistic,p-value,R2
8.216766527970465,0.001,0.1011708158209016
6.517806387599529,0.001,0.08196662714548868
6.1672063737388045,0.001,0.0779010231158615
9.79736635492837,0.001,0.11832944435611506
8.370901551850704,0.001,0.1028734030495735
7.690246458256975,0.001,0.0953057748092928
9.672534550060877,0.001,0.11699816151401343
8.03005831531964,0.001,0.09909974745509306
5.399563353595577,0.001,0.06887236513349715
8.123197956653707,0.001,0.10013409433136682
7.3093789327644485,0.001,0.09101525911293512
7.467889206509071,0.001,0.09280582950726873
6.997101007863498,0.001,0.08746693217265089
7.6935375155977885,0.001,0.09534267244276723
6.561181415862905,0.001,0.08246711900327233
7.701813230664698,0.001,0.0954354421833263
8.490944753477281,0.001,0.10419494802967008
5.726442480380859,0.001,0.07273848912718146
8.489582007238907,0.002,0.10417996752621406
7.117754891384398,0.001,0.08884116761676529
9.106324697076428,0.001,0.11090893095840493
6.6838175624018685,0.001,0.08387923378755853
7.9658432972917925,0.001,0.09838523225210748
7.578015908241334,0.001,0.09404569996946613
7.398326925714217,0.001,0.09202090651152557
8.48789450386787,0.001,0.10416141631276274
6.058669156923894,0.001,0.0766351017735704
9.12118559549861,0.001,0.11106982357057661
6.953052861251492,0.001,0.0869641947671172
10.44077407751045,0.001,0.12512796283279592
5.749071925576716,0.001,0.07300494831240659
10.33997673274097,0.001,0.12406982984768226
5.8704379812303396,0.001,0.07443141095054388
7.607185761972877,0.001,0.09437354362471283
7.091330046599767,0.001,0.0885405454307451
7.447925166922445,0.001,0.09258069927184136
7.774826693432397,0.001,0.0962530903710939
5.489033323154982,0.001,0.06993376132631852
10.136844345553495,0.001,0.12192962609237712
8.655570216100807,0.001,0.10600097694736452
8.678840878997642,0.001,0.10625568122171113
6.637779877852227,0.001,0.08334963490987819
8.591423390191178,0.001,0.10529811876310553
9.158124066716814,0.001,0.11146948851071534
9.525289564400582,0.001,0.11542267363954288
5.718307303117465,0.001,0.07264266088825062
8.105957690319116,0.001,0.09994281457435587
6.785700589659477,0.001,0.08504908197220153
7.642641356909137,0.001,0.09477171417394734
6.611753955491391,0.001,0.08304997223384665
