F-statistic,p-value,R2
8.216766527970483,0.001,0.1011708158209018
6.5178063875995145,0.001,0.08196662714548851
6.167206373738821,0.001,0.0779010231158617
9.797366354928412,0.001,0.1183294443561155
8.370901551850718,0.001,0.10287340304957365
7.690246458256975,0.001,0.0953057748092928
9.672534550060925,0.001,0.11699816151401393
8.030058315319623,0.001,0.09909974745509288
5.3995633535955925,0.001,0.06887236513349733
8.123197956653723,0.001,0.100134094331367
7.3093789327644485,0.001,0.09101525911293512
7.467889206509056,0.001,0.09280582950726857
6.997101007863498,0.001,0.08746693217265089
7.6935375155978205,0.001,0.09534267244276758
6.561181415862922,0.001,0.08246711900327253
7.701813230664713,0.001,0.09543544218332646
8.490944753477239,0.001,0.10419494802966962
5.726442480380859,0.001,0.07273848912718146
8.489582007238907,0.002,0.10417996752621406
7.117754891384398,0.001,0.08884116761676529
9.106324697076444,0.001,0.11090893095840511
6.683817562401854,0.001,0.08387923378755836
7.965843297291747,0.001,0.09838523225210698
7.578015908241318,0.001,0.09404569996946596
7.398326925714217,0.001,0.09202090651152557
8.487894503867887,0.001,0.10416141631276289
6.058669156923937,0.001,0.0766351017735709
9.121185595498625,0.001,0.11106982357057679
6.953052861251492,0.001,0.0869641947671172
10.440774077510484,0.001,0.12512796283279629
5.749071925576702,0.001,0.07300494831240642
10.339976732740952,0.001,0.12406982984768207
5.870437981230323,0.001,0.07443141095054367
7.607185761972877,0.001,0.09437354362471283
7.091330046599767,0.001,0.0885405454307451
7.44792516692246,0.001,0.09258069927184154
7.774826693432397,0.001,0.0962530903710939
5.489033323154966,0.001,0.06993376132631833
10.136844345553477,0.001,0.12192962609237695
8.655570216100807,0.001,0.10600097694736452
8.678840878997626,0.001,0.10625568122171097
6.637779877852227,0.001,0.08334963490987819
8.591423390191178,0.001,0.10529811876310553
9.15812406671683,0.001,0.1114694885107155
9.525289564400612,0.001,0.11542267363954321
5.7183073031174505,0.001,0.07264266088825046
8.105957690319133,0.001,0.09994281457435607
6.785700589659461,0.001,0.08504908197220136
7.642641356909122,0.001,0.09477171417394717
6.611753955491405,0.001,0.0830499722338468
