mean_all,mean_intra,mean_inter
3.5024228220896094,3.3734746299631877,3.124833487998153
3.5227337606351092,3.36859179921111,3.241311309718266
3.451739447227431,3.046045501462005,3.283010959814951
3.0920835483738056,2.9141490834379034,2.6253076512482805
3.2511415062679894,2.740798165748896,3.0212971179407035
2.9258048128089515,2.6553741460091,2.7867080998285183
3.4943222790218917,3.544680284966299,2.8022485398057677
2.8786676772487327,2.665314997535037,2.6059012023692656
3.320766020873799,3.1602114230942187,2.968048627812162
3.6128908906456014,3.5101871517424037,3.412177717181758
3.339594080123939,3.313879577539196,2.7885409158207435
3.368863371963941,3.2149863042014513,2.8496762875582085
3.1501143553416333,2.883635496794629,2.8723057418315032
2.7752743517146663,2.527649102695852,2.484441125144396
3.1414254260812817,2.9299932774641984,2.9032830424014198
3.1135857913473877,2.883108541689165,2.611233935487219
3.4637655184046485,3.2493514346534957,3.261827003796341
3.265553926372593,2.902173127047849,3.124871724356817
3.5228529118577367,3.224165130592759,3.2397352420799246
3.020877302532928,2.7815502558029244,2.785057231396922
3.3942725470314037,3.3158064174850335,3.0970105048986656
3.313991428277931,3.1738621696473865,2.978438497688488
3.101654542364086,2.8583981949472537,2.7667556522214722
3.4239012408356126,3.2793302260397876,2.8703191292595167
3.4272042894269417,3.146328796611296,3.0354747192896467
3.4844659337536346,3.3348342119983134,3.105201151533778
3.502738134309738,3.33978566750832,3.191090359584359
3.4461982949175924,3.290965736363131,3.2091601678701944
3.188163060545336,3.1382092634640704,2.6743582507370687
3.4140797799775733,3.4158318637443363,2.8910534250764117
3.3969666735682345,3.3529092183791147,2.9436284485064284
3.048494031728748,2.787124014340238,2.605641330500811
3.1246189800984303,2.98276615480508,2.823305848506664
3.0223526559711837,2.9078787609015655,2.6979415011567442
3.509850817126549,3.539587659228078,3.0785666373486844
3.2212374335185854,2.9031111159857024,3.02547252421362
3.4028277317348787,3.279874537734642,3.133321037977964
3.1222468570870165,2.896424677514576,2.928605980290563
2.8726724147308427,2.6601151793647406,2.6153870618136805
3.0091553532204083,2.7252914434325732,2.6626108711415006
3.0626280536129875,2.80738578616214,2.8361070741547256
3.0472262963856367,2.7376159621519673,2.7483076607862444
3.3331255994754794,2.8925321066062493,3.245472121380933
3.2501222322493803,3.1171513592568507,2.904857092702299
2.8574600458206816,2.5607765774122155,2.5042359162124366
3.7287756898313082,3.5742365542712533,3.2178345060231774
3.1546137854468026,3.0296438184020675,2.8733236106027076
3.2649364885791354,3.1371771769191428,2.938603154566823
3.611607710618646,3.419265747084391,3.1379117273804957
3.514866538916807,3.374934355075172,3.096247727945621
