kBET,ARI,ASW
0.9733333333333334,0.5036506982659184,0.51786697
0.9866666666666667,0.5007268021557021,0.51428854
1.0,0.5076512527982798,0.51570725
0.96,0.4870459503158677,0.51356673
1.0,0.4940633074031816,0.5154605
1.0,0.5122121008248884,0.51778585
1.0,0.5068235857751757,0.51364183
0.9466666666666667,0.5070456219364561,0.5075786
0.96,0.4875612501870855,0.515851
1.0,0.4915762669935908,0.51376104
0.9733333333333334,0.48708613724603234,0.51205087
0.9866666666666667,0.5118074441449345,0.51381415
1.0,0.5040756242867924,0.51316255
0.9866666666666667,0.506420748966802,0.512769
0.9866666666666667,0.5049969487415953,0.5166565
0.9733333333333334,0.4979445289552258,0.5120822
0.96,0.4915416656581504,0.51508296
1.0,0.49456526404620405,0.51174444
1.0,0.5129890390322744,0.51548135
0.9866666666666667,0.49994007854441325,0.5172225
0.9066666666666666,0.49728786446849216,0.5149816
1.0,0.5111170017244914,0.5164572
0.9866666666666667,0.48761330074860487,0.51651025
1.0,0.47212838984709293,0.5135335
0.9733333333333334,0.5027868051930557,0.51336944
0.9866666666666667,0.4925985463743162,0.5154443
0.9733333333333334,0.5035840187341403,0.5130671
0.9733333333333334,0.5088533844494316,0.51165414
0.9866666666666667,0.5052414978029824,0.5121401
0.96,0.5005226929924569,0.51592195
0.9733333333333334,0.49717915035742755,0.5132046
1.0,0.5032387385399544,0.51674783
0.9866666666666667,0.5051055960902021,0.5165569
0.9733333333333334,0.5041541430660861,0.5180013
0.9866666666666667,0.4903626852773938,0.51539874
0.96,0.47555839693951474,0.51433307
1.0,0.5084085711159851,0.5135638
0.9866666666666667,0.5022742172626848,0.51133937
0.9866666666666667,0.48181689021627705,0.5192326
0.9733333333333334,0.5091514163135619,0.51361334
0.9866666666666667,0.49146128992238025,0.51593184
0.9733333333333334,0.5043762807486298,0.5140121
0.9866666666666667,0.5088676200696338,0.51427394
0.9733333333333334,0.5056449273745509,0.5152421
0.96,0.501196958487583,0.5139444
0.9866666666666667,0.4975317522776831,0.5153341
0.9733333333333334,0.48473319282107563,0.5149888
0.9733333333333334,0.506388731894899,0.5152798
1.0,0.5048568165920511,0.5149115
0.9733333333333334,0.5037652726135173,0.5158652
